Id,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd
758,6,1386,2,440,672,672,2,6,1978,1978
599,5,1647,2,621,1430,1647,2,7,1977,1977
216,5,1236,1,447,1070,1236,1,6,1957,1996
136,7,1682,2,530,1304,1682,2,7,1970,1970
373,6,752,1,264,744,752,1,4,1984,1984
1216,5,894,1,384,894,894,1,5,1966,1966
621,3,864,0,0,864,864,1,5,1914,1950
299,6,1743,2,539,702,1041,1,7,1968,1968
1336,6,1334,2,630,1350,1334,2,6,1977,1977
775,8,1973,3,895,1935,1973,2,9,2006,2006
1185,5,1572,3,995,1572,1572,1,5,1963,1963
651,7,1665,2,562,813,822,2,7,2007,2007
537,7,1724,2,527,880,880,2,8,1998,1999
1409,4,1363,2,528,622,741,1,6,1910,1950
196,6,1456,2,440,855,855,2,7,1976,1976
562,5,1389,2,418,1389,1389,1,6,1974,1975
868,4,1120,2,544,1040,1120,1,5,1961,1961
920,6,1414,2,601,1184,1414,1,6,1958,2002
820,7,1358,2,484,1358,1358,2,6,2009,2010
454,8,1590,2,676,768,786,2,6,2008,2008
326,5,803,2,360,720,803,1,5,1941,1950
530,6,2515,2,484,2035,2515,3,9,1957,1975
1029,5,1376,1,240,768,968,1,6,1941,1950
670,4,1180,1,252,700,1180,1,5,1922,1950
1120,5,1040,1,286,1040,1040,1,6,1959,1959
59,10,2945,3,641,1410,1426,3,10,2006,2006
497,8,3228,2,546,3200,3228,3,10,1992,1993
825,8,1489,2,776,1489,1489,2,7,2006,2006
240,6,1487,1,220,735,798,1,7,1945,1950
1257,8,1987,2,691,1986,1987,2,7,1994,1994
818,8,1689,3,857,1568,1689,2,7,2002,2002
843,6,1165,2,490,1127,1165,1,6,1966,1966
331,5,1728,1,352,1728,1728,2,10,1964,1964
28,8,1704,3,772,1704,1704,2,7,2007,2008
481,9,1850,3,772,1833,1850,2,8,2004,2005
1168,6,1671,2,472,959,959,2,7,2000,2000
127,6,958,2,440,1078,958,2,5,1976,1976
967,5,1308,1,256,728,976,1,7,1940,1950
447,6,1888,2,578,1517,1888,2,6,1966,2002
817,5,1008,1,275,1008,1008,1,4,1954,1954
811,6,1309,2,484,1040,1309,1,5,1974,1999
494,5,1269,1,308,1269,1269,1,6,1960,1960
993,6,1851,2,440,822,1020,2,7,1964,1993
529,4,605,0,0,528,605,1,5,1920,2002
91,4,1040,2,420,0,1040,1,4,1950,1950
680,5,988,2,572,988,988,1,5,1961,1961
826,10,2084,3,1220,2078,2084,2,7,2007,2008
263,6,1212,2,492,506,1212,1,6,1977,1995
1299,10,5642,2,1418,6110,4692,2,12,2008,2008
578,5,1320,2,564,1164,1320,1,6,1966,1966
391,5,1367,1,384,861,961,1,7,1900,1950
149,7,1080,0,0,1080,1080,1,6,2004,2005
337,9,1922,3,676,1922,1922,2,8,2005,2006
994,6,1500,2,564,750,750,2,6,2005,2006
736,7,1768,2,320,880,880,1,6,1914,1970
79,4,1768,0,0,1768,1768,2,8,1968,1968
1077,5,1466,2,566,796,1096,2,7,1936,1989
746,8,2715,2,831,1142,1175,3,11,1976,1996
36,8,2452,3,691,1117,1132,3,9,2004,2005
1369,6,848,2,420,848,848,1,4,2003,2004
491,5,1304,1,336,264,616,1,4,1976,1976
461,8,1935,2,552,832,832,2,8,2009,2009
1246,6,1868,2,477,585,1140,3,7,1984,2003
624,6,1512,2,440,756,756,2,4,2000,2000
7,8,1694,2,636,1686,1694,2,7,2004,2005
901,4,858,1,684,858,858,1,4,1971,1971
743,7,1349,2,539,1349,1349,2,6,2000,2001
1329,6,2792,2,520,1510,1584,2,8,1920,1950
463,5,864,1,360,864,864,1,5,1965,1965
304,5,894,2,552,894,894,1,5,1972,1972
1264,6,1824,2,520,764,1060,1,8,1919,1950
217,7,1436,2,484,1436,1436,2,8,2004,2004
1155,7,1820,2,492,864,902,1,8,1965,1988
351,9,1869,2,617,1869,1869,2,6,2007,2007
1350,8,2358,0,0,684,938,2,8,1872,1987
791,7,1145,2,397,1145,1145,2,5,2005,2006
203,6,1310,1,398,617,865,2,6,1924,1950
962,6,2872,2,619,1330,1542,2,11,1977,1995
1081,6,1258,2,528,1258,1258,2,5,1971,2004
311,6,1501,2,420,697,697,2,6,1993,1994
1258,5,864,0,0,864,864,1,4,1922,1950
1016,8,1665,2,528,810,810,2,6,2001,2001
9,7,1774,2,468,952,1022,2,8,1931,1950
242,5,866,0,0,686,866,1,4,1945,1997
405,6,1572,2,373,806,806,2,7,1995,1996
842,5,1539,2,686,650,958,2,8,1904,2002
1193,5,1472,1,250,702,842,1,6,1925,1994
1150,7,1482,2,324,650,832,1,7,1920,1988
485,5,999,1,264,999,999,1,6,1962,2001
1349,7,1494,2,514,1482,1494,2,5,1998,1998
1116,8,1734,3,928,1734,1734,2,7,2007,2007
617,6,1509,2,393,783,807,2,7,2002,2003
859,7,1370,2,479,1090,1370,2,6,1976,1976
276,7,1548,2,672,952,952,2,5,1925,2007
1110,8,1836,3,862,1836,1836,2,7,2004,2005
427,7,1644,2,569,1518,1644,2,5,1989,1989
1037,9,1620,3,912,1620,1620,2,6,2007,2008
1417,4,2290,2,560,777,1246,2,11,1885,1950
633,7,1411,2,544,1386,1411,2,6,1977,1977
632,8,1554,2,627,1554,1554,2,6,2006,2006
63,8,1370,2,484,1370,1370,2,6,2006,2006
415,7,2097,3,678,1080,1080,2,9,1993,1993
635,6,1056,2,576,1056,1056,0,4,1980,1980
316,7,1432,2,432,716,716,2,6,2004,2005
1056,6,1523,2,478,1193,1523,2,7,1976,1976
1445,7,1422,2,626,1422,1422,2,7,2004,2004
560,7,1557,2,420,1374,1557,2,7,2003,2004
1314,9,2599,3,779,1393,1422,2,10,1999,1999
1173,7,1250,2,625,625,625,2,5,2006,2007
1362,7,1530,2,430,1530,1530,2,7,2005,2005
719,7,2418,3,983,1311,1325,2,9,1993,1994
554,4,1126,2,520,0,1126,2,5,1949,2003
155,6,1200,1,312,1200,1200,1,7,1923,1950
923,6,1316,2,397,1316,1316,2,6,2005,2006
1201,4,864,1,280,864,864,1,5,1970,1970
1069,6,2521,2,576,942,1291,2,10,1973,1973
1356,7,1920,2,487,570,1222,3,8,1968,1992
189,5,1224,2,528,1086,1224,0,6,1979,1979
190,8,1593,2,682,1593,1593,1,5,2001,2002
1323,7,1923,2,564,750,1061,2,8,1992,1992
973,6,918,1,264,918,918,2,5,1979,1979
243,5,1440,1,352,540,889,1,6,1900,1950
1294,7,1664,2,528,832,832,2,8,1976,1976
522,6,1244,1,336,1244,1244,1,6,1957,1957
1330,7,1632,2,462,935,955,2,8,1998,1998
1389,9,1746,3,758,1746,1746,2,7,2006,2007
352,7,1453,2,445,1453,1453,1,6,1986,1986
42,5,1328,1,308,1350,1328,1,5,1959,1959
963,6,1548,2,440,804,804,2,7,1976,1976
433,5,1365,2,440,765,765,1,6,1971,1971
100,4,1225,0,0,950,1225,1,6,1959,1959
914,5,2002,3,871,1001,1001,2,8,1949,1950
1261,6,1675,2,502,841,892,2,7,1999,1999
436,7,1661,2,550,799,827,2,6,1996,1996
1172,6,1261,2,433,1261,1261,1,6,1958,1958
1167,8,1694,3,776,1694,1694,2,7,2008,2008
1174,5,3086,0,0,1598,1636,3,12,1946,1994
1420,6,1844,2,540,1844,1844,2,7,1969,1969
209,7,2062,2,454,1157,1180,2,7,1988,1989
84,5,1065,2,461,1065,1065,1,6,1960,1960
889,8,2217,2,621,2217,2217,2,8,1970,1970
251,3,1306,0,0,728,1306,1,6,1940,1966
77,4,952,1,283,952,952,1,4,1956,1956
229,5,912,1,336,912,912,1,5,1967,1967
1334,5,1360,1,297,803,803,1,6,1938,1995
573,7,1692,2,650,846,846,2,6,2009,2009
1048,5,990,2,672,990,990,1,5,1994,1995
532,6,1362,2,502,611,751,2,6,1920,1999
1042,6,1632,2,484,800,800,1,7,1966,2000
1325,8,1795,3,895,1795,1795,2,7,2006,2007
865,7,1372,2,529,1372,1372,2,6,2007,2008
1065,5,1154,2,480,1154,1154,1,6,1966,1966
496,4,720,0,0,720,720,1,4,1920,1950
742,6,912,1,288,912,912,1,5,1961,1996
440,6,1196,2,528,684,684,1,7,1920,2000
420,5,1056,1,304,1056,1056,1,6,1968,1968
504,7,1801,2,484,1501,1801,2,6,1959,1997
1127,7,1555,3,660,1373,1555,2,7,2007,2007
1014,5,1022,1,280,1022,1022,1,4,1910,2006
324,3,1163,1,220,1162,1163,1,6,1955,2005
731,8,1616,2,608,1595,1616,2,5,1995,1996
702,7,1164,2,528,1164,1164,1,6,1969,1969
1309,5,1122,2,528,924,1122,1,6,1948,2005
598,7,1402,3,648,1258,1402,0,7,2006,2007
654,6,1469,1,216,756,756,1,7,1906,1995
894,5,1383,1,354,1383,1383,1,6,1954,1954
