Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
22,5.1,3.7,1.5,0.4
48,4.6,3.2,1.4,0.2
142,6.9,3.1,5.1,2.3
91,5.5,2.6,4.4,1.2
65,5.6,2.9,3.6,1.3
86,6.0,3.4,4.5,1.6
88,6.3,2.3,4.4,1.3
120,6.0,2.2,5.0,1.5
137,6.3,3.4,5.6,2.4
53,6.9,3.1,4.9,1.5
146,6.7,3.0,5.2,2.3
36,5.0,3.2,1.2,0.2
85,5.4,3.0,4.5,1.5
84,6.0,2.7,5.1,1.6
104,6.3,2.9,5.6,1.8
25,4.8,3.4,1.9,0.2
109,6.7,2.5,5.8,1.8
69,6.2,2.2,4.5,1.5
95,5.6,2.7,4.2,1.3
8,5.0,3.4,1.5,0.2
3,4.7,3.2,1.3,0.2
124,6.3,2.7,4.9,1.8
144,6.8,3.2,5.9,2.3
56,5.7,2.8,4.5,1.3
143,5.8,2.7,5.1,1.9
133,6.4,2.8,5.6,2.2
39,4.4,3.0,1.3,0.2
30,4.7,3.2,1.6,0.2
141,6.7,3.1,5.6,2.4
40,5.1,3.4,1.5,0.2
34,5.5,4.2,1.4,0.2
21,5.4,3.4,1.7,0.2
2,4.9,3.0,1.4,0.2
117,6.5,3.0,5.5,1.8
15,5.8,4.0,1.2,0.2
82,5.5,2.4,3.7,1.0
145,6.7,3.3,5.7,2.5
62,5.9,3.0,4.2,1.5
147,6.3,2.5,5.0,1.9
123,7.7,2.8,6.7,2.0
73,6.3,2.5,4.9,1.5
79,6.0,2.9,4.5,1.5
134,6.3,2.8,5.1,1.5
136,7.7,3.0,6.1,2.3
98,6.2,2.9,4.3,1.3
66,6.7,3.1,4.4,1.4
115,5.8,2.8,5.1,2.4
83,5.8,2.7,3.9,1.2
100,5.7,2.8,4.1,1.3
47,5.1,3.8,1.6,0.2
101,6.3,3.3,6.0,2.5
29,5.2,3.4,1.4,0.2
111,6.5,3.2,5.1,2.0
45,5.1,3.8,1.9,0.4
23,4.6,3.6,1.0,0.2
74,6.1,2.8,4.7,1.2
35,4.9,3.1,1.5,0.1
89,5.6,3.0,4.1,1.3
131,7.4,2.8,6.1,1.9
14,4.3,3.0,1.1,0.1
121,6.9,3.2,5.7,2.3
41,5.0,3.5,1.3,0.3
19,5.7,3.8,1.7,0.3
135,6.1,2.6,5.6,1.4
139,6.0,3.0,4.8,1.8
26,5.0,3.0,1.6,0.2
87,6.7,3.1,4.7,1.5
11,5.4,3.7,1.5,0.2
28,5.2,3.5,1.5,0.2
52,6.4,3.2,4.5,1.5
130,7.2,3.0,5.8,1.6
60,5.2,2.7,3.9,1.4
76,6.6,3.0,4.4,1.4
31,4.8,3.1,1.6,0.2
50,5.0,3.3,1.4,0.2
71,5.9,3.2,4.8,1.8
116,6.4,3.2,5.3,2.3
93,5.8,2.6,4.0,1.2
90,5.5,2.5,4.0,1.3
125,6.7,3.3,5.7,2.1
68,5.8,2.7,4.1,1.0
105,6.5,3.0,5.8,2.2
7,4.6,3.4,1.4,0.3
59,6.6,2.9,4.6,1.3
129,6.4,2.8,5.6,2.1
92,6.1,3.0,4.6,1.4
96,5.7,3.0,4.2,1.2
32,5.4,3.4,1.5,0.4
24,5.1,3.3,1.7,0.5
150,5.9,3.0,5.1,1.8
80,5.7,2.6,3.5,1.0
118,7.7,3.8,6.7,2.2
51,7.0,3.2,4.7,1.4
49,5.3,3.7,1.5,0.2
64,6.1,2.9,4.7,1.4
119,7.7,2.6,6.9,2.3
126,7.2,3.2,6.0,1.8
20,5.1,3.8,1.5,0.3
5,5.0,3.6,1.4,0.2
127,6.2,2.8,4.8,1.8
140,6.9,3.1,5.4,2.1
18,5.1,3.5,1.4,0.3
138,6.4,3.1,5.5,1.8
61,5.0,2.0,3.5,1.0
70,5.6,2.5,3.9,1.1
81,5.5,2.4,3.8,1.1
110,7.2,3.6,6.1,2.5
33,5.2,4.1,1.5,0.1
106,7.6,3.0,6.6,2.1
78,6.7,3.0,5.0,1.7
102,5.8,2.7,5.1,1.9
37,5.5,3.5,1.3,0.2
132,7.9,3.8,6.4,2.0
46,4.8,3.0,1.4,0.3
97,5.7,2.9,4.2,1.3
42,4.5,2.3,1.3,0.3
94,5.0,2.3,3.3,1.0
27,5.0,3.4,1.6,0.4
4,4.6,3.1,1.5,0.2
43,4.4,3.2,1.3,0.2
