Id,Species
22,0
48,0
142,2
91,1
65,1
86,1
88,1
120,2
137,2
53,1
146,2
36,0
85,1
84,1
104,2
25,0
109,2
69,1
95,1
8,0
3,0
124,2
144,2
56,1
143,2
133,2
39,0
30,0
141,2
40,0
34,0
21,0
2,0
117,2
15,0
82,1
145,2
62,1
147,2
123,2
73,1
79,1
134,2
136,2
98,1
66,1
115,2
83,1
100,1
47,0
101,2
29,0
111,2
45,0
23,0
74,1
35,0
89,1
131,2
14,0
121,2
41,0
19,0
135,2
139,2
26,0
87,1
11,0
28,0
52,1
130,2
60,1
76,1
31,0
50,0
71,1
116,2
93,1
90,1
125,2
68,1
105,2
7,0
59,1
129,2
92,1
96,1
32,0
24,0
150,2
80,1
118,2
51,1
49,0
64,1
119,2
126,2
20,0
5,0
127,2
140,2
18,0
138,2
61,1
70,1
81,1
110,2
33,0
106,2
78,1
102,2
37,0
132,2
46,0
97,1
42,0
94,1
27,0
4,0
43,0
